Feature ID	Taxon
745dfd8d8abdb9a611d6f21c61ba47954395191a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__rubescens
da69134eb5ae7cdfbc08c3e18de5a5ea60cdfc08	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__proximella
3596573aca41d4541ac8b86b4408d032c5a93851	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__roseobrunneus
fe1dd2c83d3a426bbe7129492cc998d1b2e5fd8a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__roseobrunneus
b099c486a2ed31b65b9c005ba2928dc782efab4a	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__dimorpha
e21dca9514b52964471da446faa6d237b1658f0a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Bankeraceae;g__Hydnellum;s__gracilipes
5817c7a6cd59ad4b7fba62fd29de5c075ba905cf	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;NA
6797326962e76c138ad55f407d955187b182e11b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;NA
23d3b11367dc52d2a9ab949af7537ee41582145d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;NA
1e18b5224520fdaddd1d51dd9d5e423db30516d6	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;NA;NA
626ae9aa5af3c2f120a0452af8c22a4a02c9c0fc	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;NA
