Feature ID	Taxon
5898bcf6960dca63966d7ad23fa9b9d0fd74a768	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;NA
75175157a10c7fd5e6bc0e283da2dccd01a54578	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;NA
bff999e442d725d50682e60901a3bdb6f3b83630	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__roseobrunneus
4ae7cd433419a3ae60cbbceadb41eab04d665ce1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__subdensifolia
99b68a7dbaae3ab70b092190f91f24dcd9319085	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__garyensis
fd2a1998ae3f386d0e155f615ce9b57826e2d437	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__rehmii
7c53627870f332e3b80890a8e60079146babcaf2	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;NA
b5e437256ba81cd8988fde21e884028b6ce7a2e5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__olivobrunnea
f2100dbfc99b33b22102c4d2fc2a05be96e8c2e4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__odorata
93d47786183f0c786e4f3df7dee20e321a2fc2e2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Bankeraceae;g__Hydnellum;s__spongiosipes
05951bcaa6064904eb1333ee6761b8c4dfe142c4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__duracinus
88bf2bd8f109bd01b96bcbf9d5c2b80d64d7ccd7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__nigrellus
c7c6fd1422977a04ad6a31a7f99d81eb05a94fa2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__equestre
a4f2b1164483aef2ffa853aa9911a21e7a9992ee	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Bankeraceae;g__Hydnellum;s__concrescens
11f45e73d6144cc89efde8de7bbf82f3ce215f1a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;NA
916f5d67394c3626987119d92dc757fd73968a68	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__griseoumbonata
ff27ed0e2e46d56f63c2fd720690666aa71b2133	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__pseudoamoenicolor
b9ec1a3ff97352562ca2a98c5c609dcda32466e4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__equestre
141a0a1452ac00be1858cc5af7f7a0b94b8d80b9	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Glutinomyces;NA
2a02fdbbe989e3512a206fdaf7366df4b69123ca	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__pelargonia
8244d4ceb2fe7ad9b40098b0fb78fdddd773dc0a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;NA
49dc80ce6a8c1359e3b7190591088274266b71ff	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;NA
f5856d4688115b5f1e0bce532faf65fe5db0b348	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__persicina
9c2324a1065f2d13286d29b007c34d4f1a209cd7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;NA
274a10d09189c26fdc4c6b6be39a61275b3ede47	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__lakhanpalii
cf65c21df7ea0f94563962e5b59290b7d332f553	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__subdensifolia
be5255f9fb42b64df755d7ac2a169e1da5073d48	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__humilis
b8186d42bab3228e84591b0519e6e58641636aad	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__radicis
01c082dbfb87bd9becba7585eb9e676425ef163b	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Pachyphlodes;NA
059d855d9eacc8f6ae48b8175ad617b3c5738766	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__egenula
9c909b123d7e5080b1b89c7221de775e616d4543	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__cremicolor
2118335e8196f24b78b042a76559f6cca1b9d589	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales;f__Gloniaceae;g__Cenococcum;NA
71b7b9c776d8ee171e30c20e792eac863d24f434	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales;f__Gloniaceae;g__Cenococcum;NA
b4ae08336ccf96af74347f34ac4ec3b866b008bb	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;NA;NA
58a832c35c738f97c3531049e8025ab462f7397b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__amerorecondita
08cd13d5b3e81ad61281e56d8883c42619f9cba4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Cantharellaceae_gen_Incertae_sedis;NA
f79b923e7741c47703586c2f2cd46e3483afc55a	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Humaria;s__hemisphaerica
738a4274ff903f2b768e69e7e6689a7eba4e0f07	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Keithomyces;s__carneus
c424f78559e0de6e2e83fb2747bc117f5dd5b825	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__amoenolens
28bdc0db39e2ad9a42020d76d1db769deb8d6158	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
63cb1c551066d0d1466fd468c4bde9493e74339e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;NA
536fb1f4037af6d44806970697e2196dc8f0dd98	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__quietiodor
9c6ca485fa7c57f433c6e34166fbd60be6674a65	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__chaetospira
26c5bb9c13f37d5684f82bfc89060e8c3ba6a0a4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__roseobrunneus
626ae9aa5af3c2f120a0452af8c22a4a02c9c0fc	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;NA
53b31fcc77d66f721cd29f0490b72ec5ee50df41	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__subradiata
8a41f2ae1f5df8da150bc5e51950bbf320f56235	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__somae
9d096b1e9ee2c1c1b69edf788c20d35c08c4be92	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Clavulina;NA
50166c18e0fe97b5a7b50177a7a1860c23ec534e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;NA
756cd2adc9e0cb8657c71c16cb83e022924f3f50	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__cremicolor
9b47b70800ad5574b6316575b8f9b352bdebc994	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;NA
23fba0c922e7ac68b8a8952e5803934d29cc26a4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Gomphaceae;g__Ramaria;NA
82eb87f908e447ffe36850f8bd49c2fdf84b61fd	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__rhodocephala
4d6b20acffdb9ead00e5b215995cdb49288c5657	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__proximella
f476131e6ed02636edf00e34aff0d85a84374479	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__modesta
a39c917c8669d2a378dda5ec8cff8e84a261fd69	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__rubescens
